workbook_type,workbook_name,sheet_name,budget_version,customer_code,customer_name,market_group,region,sub_region,sales_person,channel,door_type,budget_month,currency_code,budget_amount_native,fx_rate_to_eur,budget_amount_eur_compare
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-01-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-02-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-03-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-04-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-05-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-06-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-07-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-08-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-09-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-10-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-11-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,23048,AU-BAIN MARIEKE; Anjola Dam,Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-12-01,EUR,0.0,1.0,0.0
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-01-01,EUR,3491.7113,1.0,3491.7113
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-02-01,EUR,3990.5272,1.0,3990.5272
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-03-01,EUR,4988.159,1.0,4988.159
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-04-01,EUR,4239.93515,1.0,4239.93515
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-05-01,EUR,4489.343099999999,1.0,4489.343099999999
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-06-01,EUR,3990.5272,1.0,3990.5272
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-07-01,EUR,3990.5272,1.0,3990.5272
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-08-01,EUR,3242.3033499999997,1.0,3242.3033499999997
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-09-01,EUR,4738.75105,1.0,4738.75105
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-10-01,EUR,4988.159,1.0,4988.159
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-11-01,EUR,4239.93515,1.0,4239.93515
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Central,2026.03.18,23061,Agua - Spa Health Beauty,Core Markets,Benelux,NL Central,Marjelein,,,2026-12-01,EUR,3491.7113,1.0,3491.7113
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-01-01,EUR,529.0284370000002,1.0,529.0284370000002
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-02-01,EUR,604.6039280000001,1.0,604.6039280000001
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-03-01,EUR,755.7549100000001,1.0,755.7549100000001
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-04-01,EUR,642.3916735000001,1.0,642.3916735000001
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-05-01,EUR,680.179419,1.0,680.179419
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-06-01,EUR,604.6039280000001,1.0,604.6039280000001
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-07-01,EUR,604.6039280000001,1.0,604.6039280000001
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-08-01,EUR,491.2406915000001,1.0,491.2406915000001
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-09-01,EUR,717.9671645000001,1.0,717.9671645000001
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-10-01,EUR,755.7549100000001,1.0,755.7549100000001
core_markets_budget,2026.03.18 Core Markets Sales Budget 2026 New Regions FINAL.xlsx,NL Other_Belgium,2026.03.18,24032,"Angelique C""; Angelique Cools",Core Markets,Benelux,NL Other + BL,Gabrielle,,,2026-11-01,EUR,642.3916735000001,1.0,642.3916735000001
