customer_code,customer_name,customer_region,sales_person,cluster_2026,growth_class,source_sheet,budget_month,budget_amount_usd,version_label,currency_code,source_file_name,extract_type,load_ts
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-01-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-02-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-03-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-04-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-05-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-06-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-07-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-08-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-09-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-10-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-11-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25000,West Coast Lifestyles Inc.; CA,West,Erin,Lost,Lose,West,2026-12-01,0.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-01-01,2400.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-02-01,2400.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-03-01,2700.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-04-01,2700.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-05-01,2700.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-06-01,2400.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-07-01,2400.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-08-01,1800.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-09-01,2700.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-10-01,3000.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-11-01,2700.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25001,Four Seasons Hotel Philadelphia; PA,Northeast,Marcus,A+,Grow,Northeast,2026-12-01,2100.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-01-01,2160.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-02-01,2160.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-03-01,2430.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-04-01,2430.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-05-01,2430.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-06-01,2160.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-07-01,2160.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-08-01,1620.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-09-01,2430.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-10-01,2700.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
25002,Porto Vita/Villa Grande Club; Fl,Southeast,Bethany,A,Grow,Southeast,2026-11-01,2430.0,us_budget_v2_manual_check,USD,2026.01.22 US Spa Sales Budget 2026 FINAL.xlsx,us_budget_v2_monthly,2026-03-24T16:24:00+00:00
